ID,Subject,Session,Optode,Chroma,Condition,Value
1,01,01,S4_D2,hbo,Control,0.8948732832813013
1,01,01,S4_D3,hbo,Control,-0.9682247700648496
1,01,01,S5_D2,hbo,Control,-3.245158864351243
1,01,01,S5_D3,hbo,Control,-0.5872395045208466
1,01,01,S5_D4,hbo,Control,-1.6871581243113425
1,01,01,S5_D5,hbo,Control,0.2584309651338209
1,01,01,S10_D9,hbo,Control,-1.7054191643763839
1,01,01,S10_D10,hbo,Control,-2.450544189656478
1,01,01,S10_D11,hbo,Control,-1.7570097536602765
1,01,01,S10_D12,hbo,Control,-2.55931480676825
1,01,01,S11_D11,hbo,Control,-0.06349620823364846
1,01,01,S11_D12,hbo,Control,0.3389316880370504
1,01,01,S7_D7,hbo,Control,-1.032983177675494
1,01,01,S8_D7,hbo,Control,-0.8511804444245961
1,01,01,S8_D8,hbo,Control,-0.02907921418102663
1,01,01,S1_D1,hbo,Control,-1.2262608282809166
1,01,01,S2_D1,hbo,Control,-0.04341104951695296
1,01,01,S3_D1,hbo,Control,0.21253152882150414
1,01,01,S3_D2,hbo,Control,-0.026667371851054552
1,01,01,S12_D1,hbo,Control,0.041027100525531685
1,01,01,S4_D2,hbo,Noise,-0.3213237214339555
1,01,01,S4_D3,hbo,Noise,3.222654245005781
1,01,01,S5_D2,hbo,Noise,4.7424480369902176
1,01,01,S5_D3,hbo,Noise,3.156029016911363
1,01,01,S5_D4,hbo,Noise,0.861719173037805
1,01,01,S5_D5,hbo,Noise,1.341598847876208
1,01,01,S10_D9,hbo,Noise,3.2907499450129274
1,01,01,S10_D10,hbo,Noise,1.8256392966192134
1,01,01,S10_D11,hbo,Noise,6.734908659548611
1,01,01,S10_D12,hbo,Noise,8.148124975267459
1,01,01,S11_D11,hbo,Noise,1.2281358222635204
1,01,01,S11_D12,hbo,Noise,1.838045804897878
1,01,01,S7_D7,hbo,Noise,2.384695494746916
1,01,01,S8_D7,hbo,Noise,3.4067873540192055
1,01,01,S8_D8,hbo,Noise,2.4890276950262105
1,01,01,S1_D1,hbo,Noise,0.8326121795299474
1,01,01,S2_D1,hbo,Noise,-0.4834955914070503
1,01,01,S3_D1,hbo,Noise,-0.6536516336822218
1,01,01,S3_D2,hbo,Noise,0.49813560629207987
1,01,01,S12_D1,hbo,Noise,-0.1091244306500001
1,01,01,S4_D2,hbo,Speech,1.1567256060639632
1,01,01,S4_D3,hbo,Speech,1.9408909587686116
1,01,01,S5_D2,hbo,Speech,3.819517159441321
1,01,01,S5_D3,hbo,Speech,2.9445744000621685
1,01,01,S5_D4,hbo,Speech,3.200310398680673
1,01,01,S5_D5,hbo,Speech,1.2523218994342977
1,01,01,S10_D9,hbo,Speech,0.40239198386540426
1,01,01,S10_D10,hbo,Speech,1.7224157242435036
1,01,01,S10_D11,hbo,Speech,3.860598016958225
1,01,01,S10_D12,hbo,Speech,5.304783876210321
1,01,01,S11_D11,hbo,Speech,1.5580251564097172
1,01,01,S11_D12,hbo,Speech,2.345715034097842
1,01,01,S7_D7,hbo,Speech,1.5854466848678126
1,01,01,S8_D7,hbo,Speech,2.8119619861219194
1,01,01,S8_D8,hbo,Speech,1.3290941485638232
1,01,01,S1_D1,hbo,Speech,0.9281530792842259
1,01,01,S2_D1,hbo,Speech,1.4033171302164738
1,01,01,S3_D1,hbo,Speech,-0.9972415809625009
1,01,01,S3_D2,hbo,Speech,1.0127615085224393
1,01,01,S12_D1,hbo,Speech,1.8586943701024008
2,01,02,S4_D2,hbo,Control,-0.22736320409832253
