Subject,Session,ROI,# Bad Channels,Total Channels,BadChannelProportion,Activation (0/1)
01,01,All_ROIs,5,25,0.2,1
01,01,Front,0,5,0.0,1
01,01,Left_Auditory,0,6,0.0,1
01,01,Noise_GLM,0,2,0.0,1
01,01,Noise_WAA,1,7,0.143,1
01,01,Right_Auditory,0,6,0.0,1
01,01,Speech_GLM,1,6,0.167,1
01,01,Speech_WAA,0,7,0.0,1
01,01,Visual,5,8,0.625,1
01,02,All_ROIs,4,25,0.16,1
01,02,Front,0,5,0.0,1
01,02,Left_Auditory,0,6,0.0,1
01,02,Noise_GLM,0,2,0.0,1
01,02,Noise_WAA,0,7,0.0,1
01,02,Right_Auditory,0,6,0.0,1
01,02,Speech_GLM,1,6,0.167,1
01,02,Speech_WAA,0,7,0.0,1
01,02,Visual,4,8,0.5,0
02,01,All_ROIs,1,25,0.04,0
02,01,Front,0,5,0.0,0
02,01,Left_Auditory,0,6,0.0,0
02,01,Noise_GLM,0,2,0.0,0
02,01,Noise_WAA,0,7,0.0,0
02,01,Right_Auditory,0,6,0.0,0
02,01,Speech_GLM,0,6,0.0,0
02,01,Speech_WAA,0,7,0.0,0
02,01,Visual,1,8,0.125,0
02,02,All_ROIs,5,25,0.2,1
02,02,Front,0,5,0.0,1
02,02,Left_Auditory,0,6,0.0,1
02,02,Noise_GLM,0,2,0.0,1
02,02,Noise_WAA,1,7,0.143,1
02,02,Right_Auditory,0,6,0.0,1
02,02,Speech_GLM,0,6,0.0,1
02,02,Speech_WAA,0,7,0.0,1
02,02,Visual,5,8,0.625,1
03,01,All_ROIs,1,25,0.04,1
03,01,Front,0,5,0.0,1
03,01,Left_Auditory,0,6,0.0,1
03,01,Noise_GLM,0,2,0.0,1
03,01,Noise_WAA,0,7,0.0,1
03,01,Right_Auditory,0,6,0.0,1
03,01,Speech_GLM,0,6,0.0,1
03,01,Speech_WAA,0,7,0.0,1
03,01,Visual,1,8,0.125,1
03,02,All_ROIs,1,25,0.04,1
03,02,Front,0,5,0.0,1
03,02,Left_Auditory,0,6,0.0,1
03,02,Noise_GLM,0,2,0.0,1
03,02,Noise_WAA,0,7,0.0,1
03,02,Right_Auditory,0,6,0.0,1
03,02,Speech_GLM,0,6,0.0,1
03,02,Speech_WAA,0,7,0.0,1
03,02,Visual,1,8,0.125,1
04,01,All_ROIs,0,25,0.0,1
