Subject,Session,Condition,Mean_Amplitude,SD_Amplitude,Num_Epochs
sub-01,ses-01,Control,-3.8892314631273356e-07,3.439950764855647e-06,20
sub-01,ses-01,Noise,1.6828302262982146e-06,2.911816248286828e-06,20
sub-01,ses-01,Speech,1.3891369323364914e-06,3.971624186096622e-06,20
sub-01,ses-02,Control,-4.6633126543723253e-07,4.251687160347692e-06,20
sub-01,ses-02,Noise,1.5321770345180736e-06,3.5166643017829267e-06,20
sub-01,ses-02,Speech,1.3108333987039941e-06,3.059923714755254e-06,20
sub-02,ses-01,Control,7.587603600754749e-07,4.3214841495481235e-06,20
sub-02,ses-01,Noise,-6.803059468040071e-08,5.7999188691199685e-06,20
sub-02,ses-01,Speech,8.308096958785712e-07,5.335622950548835e-06,20
sub-02,ses-02,Control,-1.033876713892888e-06,3.5080470203800806e-06,20
sub-02,ses-02,Noise,1.5942782537611249e-06,4.163793997477023e-06,20
sub-02,ses-02,Speech,1.7106602635859286e-06,5.84873855118092e-06,20
sub-03,ses-01,Control,-5.3688097966490016e-08,5.111850767497017e-06,20
sub-03,ses-01,Noise,1.2344077519027108e-06,4.199450166716561e-06,20
sub-03,ses-01,Speech,-7.514655979718644e-07,5.227964314312286e-06,20
sub-03,ses-02,Control,-2.965318381126482e-06,6.119542260921216e-06,20
sub-03,ses-02,Noise,1.8265656973285645e-06,6.248677932082301e-06,20
sub-03,ses-02,Speech,8.222605686111895e-07,6.379096413064379e-06,20
sub-04,ses-01,Control,8.89286698753502e-07,4.543065240439254e-06,20
sub-04,ses-01,Noise,1.4473706270026501e-06,4.53930943950131e-06,20
sub-04,ses-01,Speech,1.913247468059968e-06,4.337302629225624e-06,20
sub-04,ses-02,Control,-5.380629158150329e-07,3.1997826164272852e-06,20
sub-04,ses-02,Noise,8.283762631543657e-07,2.749907475298959e-06,20
sub-04,ses-02,Speech,9.132164385165805e-07,3.3129148741790793e-06,19
sub-05,ses-01,Control,-2.555857075966123e-07,3.3355837082275178e-06,20
sub-05,ses-01,Noise,-7.591384482242048e-07,3.8074119879518915e-06,20
sub-05,ses-01,Speech,1.4036080617984634e-06,4.403719423038084e-06,20
sub-05,ses-02,Control,-8.998950026647429e-07,7.507569573352089e-06,20
sub-05,ses-02,Noise,2.5367385609530018e-06,7.108436343778651e-06,19
sub-05,ses-02,Speech,-4.2375514427719523e-07,7.244844747462505e-06,20
sub-07,ses-01,Control,-1.491847065529242e-07,2.72235489743724e-06,20
sub-07,ses-01,Noise,3.774225261124922e-07,2.204753811199968e-06,20
sub-07,ses-01,Speech,-1.671715510736149e-09,2.4367903470304093e-06,20
sub-07,ses-02,Control,-9.435978759108003e-08,2.8857367575825583e-06,20
sub-07,ses-02,Noise,-1.7515007759488288e-06,1.9149668094808005e-06,20
sub-07,ses-02,Speech,-1.8058674569745974e-06,2.4266385752636323e-06,20
sub-08,ses-01,Control,3.891848494416979e-07,2.338861578549975e-06,20
sub-08,ses-01,Noise,3.814612394486476e-08,2.185307104335231e-06,20
sub-08,ses-01,Speech,7.468943937952258e-08,2.7989404028467617e-06,20
sub-08,ses-02,Control,-4.2717249104306995e-07,1.6245147478948762e-06,20
sub-08,ses-02,Noise,7.054272991938209e-07,2.7297915968792135e-06,20
sub-08,ses-02,Speech,-1.294316102400603e-07,2.16331745554425e-06,20
sub-10,ses-01,Control,2.3681534794584587e-06,5.749001723691428e-06,20
sub-10,ses-01,Noise,9.077756971417654e-07,8.70273017977406e-06,20
sub-10,ses-01,Speech,2.8896202458912086e-06,7.896326571473292e-06,20
sub-10,ses-02,Control,1.1013100036070163e-06,6.20578992724833e-06,20
sub-10,ses-02,Noise,1.5906932568623968e-06,7.619050358184735e-06,20
sub-10,ses-02,Speech,1.491621409149829e-06,6.860189722238785e-06,20
sub-11,ses-01,Control,-1.1627743307606855e-06,4.681893899072508e-06,20
sub-11,ses-01,Noise,1.0372587346576925e-06,5.812994518226255e-06,20
sub-11,ses-01,Speech,4.340924336238141e-07,6.07042999823631e-06,20
sub-11,ses-02,Control,3.086323887862043e-07,3.4727721999842837e-06,20
sub-11,ses-02,Noise,6.631874579224708e-08,4.202365477685469e-06,20
sub-11,ses-02,Speech,4.3850623728756375e-07,3.723853478400572e-06,20
sub-12,ses-01,Control,3.629263895261383e-08,6.555072437211392e-06,19
sub-12,ses-01,Noise,9.787865431409722e-07,4.505305586001932e-06,20
sub-12,ses-01,Speech,3.4611362279844446e-06,4.586447227353366e-06,20
sub-12,ses-02,Control,7.532661017389948e-07,5.033843578422156e-06,20
sub-12,ses-02,Noise,8.074389134385455e-07,4.7603138682274714e-06,20
sub-12,ses-02,Speech,-1.2545088902471522e-06,4.2116751351679115e-06,20
sub-13,ses-01,Control,-2.1553973604755855e-07,4.563967014860273e-06,20
sub-13,ses-01,Noise,3.0408320643736476e-07,4.103733860581991e-06,20
sub-13,ses-01,Speech,-3.1262431452199986e-07,4.2617427243017815e-06,20
sub-13,ses-02,Control,-2.3784238479521766e-06,5.408467676903269e-06,20
sub-13,ses-02,Noise,5.155330684632384e-07,5.0250826218799155e-06,20
sub-13,ses-02,Speech,1.1663070223036817e-06,7.472368947369246e-06,20
sub-16,ses-01,Control,1.2322127894906935e-06,4.559635073080602e-06,20
sub-16,ses-01,Noise,8.101432257932208e-07,5.482861378064953e-06,20
sub-16,ses-01,Speech,3.1395966474711318e-06,4.383045150776503e-06,20
sub-16,ses-02,Control,7.855140626552871e-07,2.5495295841803393e-06,20
sub-16,ses-02,Noise,8.407228940091996e-07,3.3396289496100535e-06,20
sub-16,ses-02,Speech,1.0133613613090002e-06,3.287676237213799e-06,20
sub-17,ses-01,Control,-1.958946192518324e-07,2.960471963396517e-06,20
sub-17,ses-01,Noise,2.78428707132626e-07,3.035476026988141e-06,20
sub-17,ses-01,Speech,8.529454942336308e-07,2.384760423317989e-06,20
sub-17,ses-02,Control,-1.497353715655821e-06,4.43563861745969e-06,20
sub-17,ses-02,Noise,-9.717311338803418e-07,4.9737709864671574e-06,20
sub-17,ses-02,Speech,1.8415685551948634e-06,4.924780492427404e-06,20
sub-19,ses-01,Control,4.091314986444544e-07,3.0397684082403963e-06,20
sub-19,ses-01,Noise,7.241635582258314e-07,3.0068504457775285e-06,20
sub-19,ses-01,Speech,7.956396150233735e-07,4.576764792759184e-06,20
sub-19,ses-02,Control,9.715508596291861e-07,4.366248669419749e-06,20
sub-19,ses-02,Noise,8.494720145590088e-07,4.945075274135038e-06,20
sub-19,ses-02,Speech,9.39061395037703e-07,4.369608913494324e-06,20
sub-21,ses-01,Control,-3.241133852585186e-08,2.276446479950485e-06,20
sub-21,ses-01,Noise,-3.011730462701049e-07,2.5962216101613874e-06,20
sub-21,ses-01,Speech,8.175658289195804e-07,3.6312162808310594e-06,20
sub-21,ses-02,Control,-1.6977390981723566e-07,3.0279511791308226e-06,20
sub-21,ses-02,Noise,-7.442122745583354e-07,3.168673358417375e-06,20
sub-21,ses-02,Speech,2.6429677343066003e-07,3.2688240021016147e-06,20
sub-24,ses-01,Control,-1.2121447262284207e-07,5.320029953634593e-06,20
sub-24,ses-01,Noise,2.167749758099037e-06,3.6040742029023897e-06,20
sub-24,ses-01,Speech,2.311690513811753e-06,5.538562003280241e-06,20
sub-24,ses-02,Control,-1.6537788177910003e-06,5.1472124920254995e-06,20
sub-24,ses-02,Noise,9.672214159325338e-07,5.560507112600675e-06,20
sub-24,ses-02,Speech,3.25477785048882e-06,6.400036410073378e-06,20
