Subject,Session,Condition,Mean_Amplitude,SD_Amplitude,Num_Epochs
sub-01,ses-01,Control,-3.501754450508368e-07,1.5614483388920733e-06,20
sub-01,ses-01,Noise,6.776348990722972e-07,1.421270157206386e-06,20
sub-01,ses-01,Speech,6.09971294205891e-07,1.8123552168013035e-06,20
sub-01,ses-02,Control,-2.0436604553525587e-07,1.634339145715744e-06,20
sub-01,ses-02,Noise,5.443122477555308e-07,1.3299197285983339e-06,20
sub-01,ses-02,Speech,4.5759136907382453e-07,1.194006650768906e-06,20
sub-02,ses-01,Control,2.9435167831206884e-07,1.6128266885859972e-06,20
sub-02,ses-01,Noise,4.4389409011404084e-08,2.262374826281097e-06,20
sub-02,ses-01,Speech,1.7826294094699502e-07,1.945023805104475e-06,20
sub-02,ses-02,Control,-5.835640463557418e-07,1.6483922814877294e-06,20
sub-02,ses-02,Noise,6.775249434679324e-07,2.2509609641002925e-06,20
sub-02,ses-02,Speech,8.714759673065339e-07,3.065488496052776e-06,20
sub-03,ses-01,Control,3.8519842858120006e-08,2.306401891811568e-06,20
sub-03,ses-01,Noise,5.793780237487432e-07,2.168432514287538e-06,20
sub-03,ses-01,Speech,-2.8646919754393576e-07,2.3326397323832236e-06,20
sub-03,ses-02,Control,-1.1354479637255364e-06,2.433028047310443e-06,20
sub-03,ses-02,Noise,7.985450535930464e-07,2.439466249339091e-06,20
sub-03,ses-02,Speech,5.15058799998977e-07,2.6466348964427142e-06,20
sub-04,ses-01,Control,2.200179508103802e-07,1.78066370299197e-06,20
sub-04,ses-01,Noise,4.0106381507256647e-07,1.5955660548846598e-06,20
sub-04,ses-01,Speech,5.91121587959156e-07,1.3860854916623088e-06,20
sub-04,ses-02,Control,7.566965369620566e-08,9.291471165244874e-07,20
sub-04,ses-02,Noise,-1.392247246392601e-07,9.979140548251072e-07,20
sub-04,ses-02,Speech,2.961416341742328e-07,1.4305126013961499e-06,20
sub-05,ses-01,Control,9.903939078465816e-09,1.7196542068738163e-06,20
sub-05,ses-01,Noise,-5.844613466363503e-07,1.8615593802972359e-06,20
sub-05,ses-01,Speech,5.49020277673051e-07,2.0416021485915274e-06,20
sub-05,ses-02,Control,-3.3716623578972523e-07,3.5701365404088725e-06,20
sub-05,ses-02,Noise,1.471415302434159e-06,3.7825851839226274e-06,20
sub-05,ses-02,Speech,-2.0257561802740876e-07,3.5656017416339907e-06,20
sub-07,ses-01,Control,1.8407512605313718e-07,1.1311459016037556e-06,20
sub-07,ses-01,Noise,1.7556961220128158e-07,1.1668691119393672e-06,20
sub-07,ses-01,Speech,1.707482740320839e-07,1.1753548805005116e-06,20
sub-07,ses-02,Control,-7.149763993523875e-08,9.293917722066384e-07,20
sub-07,ses-02,Noise,-2.5375713866390454e-07,8.931217488391204e-07,20
sub-07,ses-02,Speech,-7.419325172441369e-07,1.143791235981085e-06,20
