Subject,Session,Condition,Mean_Amplitude,SD_Amplitude,Num_Epochs
sub-01,ses-01,Control,-3.4642408600240076e-07,2.2695166299924928e-06,20
sub-01,ses-01,Noise,1.0910180622593857e-06,1.9772529300905515e-06,20
sub-01,ses-01,Speech,1.0502306971429016e-06,2.5786462950874414e-06,20
sub-01,ses-02,Control,-3.93416482289137e-07,2.6790980515550125e-06,20
sub-01,ses-02,Noise,9.71005954249311e-07,2.207749762127154e-06,20
sub-01,ses-02,Speech,7.809900062927608e-07,2.0620576769156205e-06,20
sub-02,ses-01,Control,3.5852999667831373e-07,2.7126921957012747e-06,20
sub-02,ses-01,Noise,-5.6483151467748305e-08,3.7696422782356345e-06,20
sub-02,ses-01,Speech,4.185272059633213e-07,3.365434745154251e-06,20
sub-02,ses-02,Control,-8.179687059048719e-07,2.2242886289624114e-06,20
sub-02,ses-02,Noise,8.94819555633086e-07,2.7370545533609256e-06,20
sub-02,ses-02,Speech,1.044122704241169e-06,3.958208400785053e-06,20
sub-03,ses-01,Control,2.204144637895788e-08,3.4469213285172752e-06,20
sub-03,ses-01,Noise,9.110155199853541e-07,2.63483316310133e-06,20
sub-03,ses-01,Speech,-3.390242227969091e-07,3.40283806685084e-06,20
sub-03,ses-02,Control,-2.06638567417288e-06,4.5116089766986934e-06,20
sub-03,ses-02,Noise,1.3646693763082576e-06,4.27503366618536e-06,20
sub-03,ses-02,Speech,8.115026395662548e-07,4.7422365651455004e-06,20
sub-04,ses-01,Control,4.779548302915855e-07,3.2169009552061054e-06,20
sub-04,ses-01,Noise,1.0317281729549538e-06,3.1226150914809455e-06,20
sub-04,ses-01,Speech,1.2521685837994449e-06,2.6664123482806228e-06,20
sub-04,ses-02,Control,-4.857672753715464e-07,2.040813535622032e-06,20
sub-04,ses-02,Noise,5.364329435067253e-07,1.746860119096149e-06,20
sub-04,ses-02,Speech,6.129150551832676e-07,2.1077483499572447e-06,19
sub-05,ses-01,Control,-1.9256645427351788e-07,2.290112719597827e-06,20
sub-05,ses-01,Noise,-4.79623288001245e-07,2.664879519337807e-06,20
sub-05,ses-01,Speech,1.1140709779780542e-06,2.8973410221108e-06,20
sub-05,ses-02,Control,-5.779774529577412e-07,4.8749585304646146e-06,20
sub-05,ses-02,Noise,1.5569487861986743e-06,4.607437857851986e-06,19
sub-05,ses-02,Speech,-3.8554441899783116e-07,4.7938770106685565e-06,20
sub-07,ses-01,Control,-1.6328872219968127e-07,1.7439513508659661e-06,20
sub-07,ses-01,Noise,3.2151392461170095e-07,1.4257502406528802e-06,20
sub-07,ses-01,Speech,1.1298425383473785e-07,1.577037517270332e-06,20
sub-07,ses-02,Control,-1.1601065653419294e-07,1.9575063340647843e-06,20
sub-07,ses-02,Noise,-1.1016595864563281e-06,1.442264621807351e-06,20
sub-07,ses-02,Speech,-1.1220449373656242e-06,1.6370668165158535e-06,20
sub-08,ses-01,Control,2.837533857758447e-07,1.6435849263173504e-06,20
sub-08,ses-01,Noise,-1.3144612200571047e-07,1.458726504773846e-06,20
sub-08,ses-01,Speech,-4.9245420272401756e-08,1.8679821848076265e-06,20
sub-08,ses-02,Control,-2.7905485590167884e-07,1.1209689175462392e-06,20
sub-08,ses-02,Noise,4.5652198343679446e-07,1.778391449086437e-06,20
sub-08,ses-02,Speech,-7.501707950396302e-08,1.3855612638172698e-06,20
sub-10,ses-01,Control,1.4887801145843156e-06,3.6188453423642813e-06,20
sub-10,ses-01,Noise,2.751108064701919e-07,5.434974338968829e-06,20
sub-10,ses-01,Speech,1.6984881251199536e-06,5.019824924577548e-06,20
sub-10,ses-02,Control,5.178529947733378e-07,4.0156394550186235e-06,20
sub-10,ses-02,Noise,9.65524808072518e-07,4.9766109688928954e-06,20
sub-10,ses-02,Speech,9.732351438884615e-07,4.307114238974437e-06,20
sub-11,ses-01,Control,-7.593381536105333e-07,3.1676303570010934e-06,20
sub-11,ses-01,Noise,8.608566666780832e-07,3.883016749353099e-06,20
sub-11,ses-01,Speech,3.034967689236241e-07,3.8789842306476696e-06,20
sub-11,ses-02,Control,2.7916053135087894e-07,2.3970112864227268e-06,20
sub-11,ses-02,Noise,-5.48414525294488e-08,2.637271412152739e-06,20
sub-11,ses-02,Speech,3.168141408776111e-07,2.5045211934278694e-06,20
sub-12,ses-01,Control,2.015197806579826e-07,4.2846550174297375e-06,19
sub-12,ses-01,Noise,8.115240342832395e-07,3.1057069317871283e-06,20
sub-12,ses-01,Speech,2.1507128686650705e-06,3.317380829729354e-06,20
sub-12,ses-02,Control,6.324915922485065e-07,3.3230328718755688e-06,20
sub-12,ses-02,Noise,5.867532410928709e-07,3.0679729312370513e-06,20
sub-12,ses-02,Speech,-8.84896748095464e-07,2.897423111342348e-06,20
sub-13,ses-01,Control,1.7205167464513321e-07,3.2187950180111825e-06,20
sub-13,ses-01,Noise,5.550995801871786e-07,2.815178851523594e-06,20
sub-13,ses-01,Speech,-2.1427580245135808e-07,3.1682621769653446e-06,20
